"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
2;"U2";"DC_DC_LM2596_small";1;"DC_DC_small";;;
3;"J5";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
4;"R8,R7,R6,R5,R4,R3,R2,R1";"R_0805_2012Metric";8;"10k";;;
5;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
6;"SW1";"SW_SPST_EVQQ2";1;"SW_Push";;;
7;"J3";"PinSocket_1x03_P2.54mm_Vertical";1;"Screw_Terminal_01x03";;;
8;"C1";"C_0805_2012Metric";1;"0.1uf";;;
9;"U1";"ESP-12E";1;"ESP-12F";;;
10;"Q2";"SOT-23";1;"AO3400A";;;
11;"Q1";"SOT-23";1;"2N7002";;;
12;"J2";"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical";1;"Screw_Terminal_01x03";;;
13;"J1";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";1;"Screw_Terminal_01x03";;;
